room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16084462,1326,26167849,Private room,,Calgary,NORTH,HUNTINGTON HILLS,54,5.0,1,1.0,,20.0,,2017-06-10 03:48:03.934252,51.122176,-114.065547,0101000020E610000075560BEC31845CC0952D9276A38F4940
16737117,1326,110998485,Private room,,Calgary,SOUTH,WILLOW PARK,9,4.5,3,2.0,,31.0,,2017-06-10 03:48:03.931002,50.959633,-114.060427,0101000020E6100000E8323509DE835CC0C8940F41D57A4940
17542274,1326,70732381,Private room,,Calgary,CENTRE,TUXEDO PARK,5,5.0,1,1.0,,25.0,,2017-06-10 03:48:03.928085,51.075333,-114.061222,0101000020E6100000EDF2AD0FEB835CC0A0A70183A4894940
14406840,1326,88366836,Private room,,Calgary,WEST,SIGNAL HILL,8,5.0,2,1.0,,27.0,,2017-06-10 03:48:03.925703,51.030535,-114.16999,0101000020E610000069A9BC1DE18A5CC012312592E8834940
16696028,1326,110574542,Private room,,Calgary,NORTHWEST,VARSITY,6,5.0,2,1.0,,23.0,,2017-06-10 03:48:03.922824,51.085117,-114.129865,0101000020E610000048F949B54F885CC0B4AA251DE58A4940
15706704,1326,10525059,Private room,,Calgary,CENTRE,CRESCENT HEIGHTS,8,5.0,1,1.0,,31.0,,2017-06-10 03:48:03.920291,51.054208,-114.053626,0101000020E6100000C70DBF9B6E835CC03E97A949F0864940
6957286,1326,36478452,Private room,,Calgary,CENTRE,RICHMOND,24,5.0,1,1.0,,29.0,,2017-06-10 03:48:03.917391,51.034208,-114.108758,0101000020E61000006A4B1DE4F5865CC07BA180ED60844940
15565565,1326,96958885,Private room,,Calgary,SOUTHEAST,RIVERBEND,4,5.0,2,1.0,,29.0,,2017-06-10 03:48:02.896656,50.970092,-114.019252,0101000020E61000007C98BD6C3B815CC03D0E83F92B7C4940
15522297,1326,39255347,Private room,,Calgary,CENTRE,SUNNYSIDE,30,5.0,2,1.0,,23.0,,2017-06-10 03:48:02.892287,51.056895,-114.075775,0101000020E6100000AEB6627FD9845CC02827DA5548874940
17386645,1326,73583248,Private room,,Calgary,NORTHWEST,VARSITY,18,5.0,2,1.0,,15.0,,2017-06-10 03:48:02.889876,51.10668,-114.174606,0101000020E6100000DDEBA4BE2C8B5CC09291B3B0A78D4940
15500043,1326,81280915,Private room,,Calgary,CENTRE,POINT MCKAY,7,4.5,2,1.0,,20.0,,2017-06-10 03:48:02.887131,51.05864,-114.144904,0101000020E6100000D0436D1B46895CC0641EF98381874940
3569573,1326,17769677,Private room,,Calgary,CENTRE,BELTLINE,39,4.5,2,1.0,,23.0,,2017-06-10 03:48:02.884800,51.038293,-114.082191,0101000020E6100000A2410A9E42855CC03755F7C8E6844940
16614599,1326,67379680,Private room,,Calgary,WEST,GLAMORGAN,11,5.0,2,1.0,,34.0,,2017-06-10 03:48:02.881806,51.018264,-114.154194,0101000020E610000053CF8250DE895CC0DA58897956824940
16477689,1326,108163105,Private room,,Calgary,NORTHWEST,BOWNESS,5,5.0,2,1.0,,37.0,,2017-06-10 03:48:02.879335,51.082231,-114.180671,0101000020E61000007B15191D908B5CC0D3DB9F8B868A4940
8339749,1326,43548063,Private room,,Calgary,NORTHWEST,UNIVERSITY HEIGHTS,23,5.0,1,1.0,,35.0,,2017-06-10 03:48:02.875453,51.06915,-114.13407,0101000020E6100000FB57569A94885CC05B423EE8D9884940
16998765,1326,28223434,Private room,,Calgary,CENTRE,CAPITOL HILL,21,5.0,2,2.0,,15.0,,2017-06-10 03:48:02.873140,51.068234,-114.090685,0101000020E6100000374F75C8CD855CC0D53C47E4BB884940
