room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
11723772,32683270,Private room,CENTRE,BANFF TRAIL,1,,1,1.0,27.0,1.0,51.078416,-114.117112,2016-09-21 23:19:47.707295
14450351,88375730,Private room,CENTRE,TUXEDO PARK,0,,2,1.0,29.0,2.0,51.069786,-114.065917,2016-09-21 23:19:42.838976
14874342,93228929,Private room,CENTRE,BELTLINE,0,,2,1.0,41.0,1.0,51.038092,-114.072577,2016-09-21 23:19:38.864298
5873840,30501130,Private room,CENTRE,WEST HILLHURST,41,4.5,2,1.0,27.0,1.0,51.056739,-114.123828,2016-09-21 23:19:21.180178
11673618,61983456,Private room,CENTRE,CRESCENT HEIGHTS,11,5.0,2,1.0,45.0,2.0,51.050877,-114.054078,2016-09-21 23:19:15.580033
13396624,37089754,Entire home/apt,SOUTHEAST,MCKENZIE TOWNE,2,,4,2.0,103.0,1.0,50.924829,-113.973647,2016-09-21 23:19:06.850179
7968790,2506176,Private room,CENTRE,BANFF TRAIL,3,5.0,2,1.0,55.0,1.0,51.06841,-114.107269,2016-09-21 23:18:52.489414
6992783,36662942,Private room,CENTRE,BANFF TRAIL,2,,2,1.0,28.0,1.0,51.077579,-114.119866,2016-09-21 23:18:46.584176
6790660,35548820,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,0,,2,1.0,234.0,1.0,51.05272,-114.042912,2016-09-21 23:18:27.549371
3878236,4422319,Private room,NORTHWEST,VARSITY,14,5.0,1,1.0,32.0,3.0,51.081769,-114.149267,2016-09-21 23:18:16.770575
11969232,63940652,Private room,WEST,SIGNAL HILL,0,,1,1.0,312.0,1.0,51.016225,-114.168192,2016-09-21 23:18:13.332581
13602528,78670519,Private room,CENTRE,BRIDGELAND/RIVERSIDE,4,5.0,2,1.0,38.0,2.0,51.048963,-114.042664,2016-09-21 23:18:02.867595
11400726,11475975,Private room,SOUTH,FAIRVIEW,29,5.0,3,1.0,31.0,1.0,50.981821,-114.052812,2016-09-21 23:18:00.035665
12303631,225914,Private room,SOUTH,HAYSBORO,1,,2,1.0,59.0,2.0,50.968886,-114.079165,2016-09-21 23:17:29.746443
